"book_id","book_name","author_id","publisher_id"
"2","三十三の死","12","343"
"4","日常生活の美学－モダニズムと『いき』","100","0"
"5","あいびき","5","239"
"5","あいびき","6","239"
"6","エア 黄泉戸喫","7","0"
"7","赤蛙","8","343"
"8","赤毛連盟","10","0"
"8","赤毛連盟","9","0"
"9","暁と夕の詩","11","89"
"10","秋は淋しい","12","216"
"11","秋の瞳","13","33"
"12","悪魔の舌","14","529"
"13","十本の針","879","91"
"14","あばばばば","879","343"
"15","アグニの神","879","343"
"16","秋","879","343"
"17","あの頃の自分の事","879","343"
"18","闇中問答","879","343"
"19","或阿呆の一生","879","343"
"20","或旧友へ送る手記","879","343"
"21","浅草公園 或シナリオ","879","33"
"22","羅生門の後に","879","54"
"23","芭蕉雑記","879","343"
"24","尾生の信","879","33"
"25","文学好きの家庭から","879","91"
"26","文芸的な、余りに文芸的な","879","343"
"27","文章","879","33"
"28","舞踏会","879","343"
"29","カルメン","879","33"
"30","父","879","33"
"31","偸盗","879","116"
"32","大導寺信輔の半生 ――或精神的風景画――","879","249"
"33","第四の夫から","879","33"
"34","伝吉の敵打ち","879","33"
"35","英雄の器","879","33"
"37","戯作三昧","879","343"
"36","玄鶴山房","879","249"
"38","戯作三昧","879","345"
"39","疑惑","879","33"
"40","歯車","879","343"
"41","母","879","33"
"42","鼻","879","33"
"43","手巾","879","343"
"44","春の心臓","879","107"
"44","春の心臓","1085","107"
"45","春","879","33"
"46","春の夜","879","33"
"47","雛","879","343"
"48","本所両国","879","343"
"49","奉教人の死","879","343"
"50","報恩記","879","33"
"51","文放古","879","33"
"52","不思議な島","879","33"
"53","冬","879","33"
"54","ひょっとこ","879","33"
"55","芋粥","879","343"
"56","犬と笛","879","33"
"57","一夕話","879","33"
"58","糸女覚え書","879","343"
"59","邪宗門","879","33"
"60","地獄変","879","107"
"61","地獄変","879","390"
"62","十円札","879","33"
"63","じゅりあの・吉助","879","33"
"64","影","879","33"
"65","貝殻","879","259"
"66","開化の殺人","879","343"
"67","開化の良人","879","33"
"68","神神の微笑","879","33"
"69","河童","879","70"
"70","彼","879","33"
"71","彼 第二","879","33"
"72","枯野抄","879","343"
"73","或敵打の話","879","33"
"74","片恋","879","33"
"75","袈裟と盛遠","879","33"
"76","奇遇","879","33"
"77","奇怪な再会","879","33"
"78","金将軍","879","33"
"79","きりしとほろ上人伝","879","343"
"80","煙管","879","33"
"81","木曽義仲論","879","343"
"82","古千屋","879","33"
"83","孤独地獄","879","343"
"84","子供の病気 一游亭に","879","33"
"85","黒衣聖母","879","33"
"86","二人小町","879","33"
"87","湖南の扇","879","249"
"88","黄粱夢","879","33"
"89","校正後に","879","91"
"90","好色","879","343"
"91","首が落ちた話","879","33"
"92","蜘蛛の糸","879","33"
"93","「鏡花全集」目録開口","879","343"
"94","LOS CAPRICHOS","879","259"
"95","魔術","879","33"
"96","松江印象記","879","91"
"97","Mensura Zoili","879","33"
"98","蜜柑","879","343"
"99","水の三日","879","91"
"100","桃太郎","879","33"
"101","毛利先生","879","33"
"102","貉","879","33"
"103","妙な話","879","33"
"104","長崎小品","879","259"
"105","南京の基督","879","343"
"106","葱","879","33"
"107","年末の一日","879","249"
"108","鼠小僧次郎吉","879","343"
"109","尼提","879","33"
"110","日光小品","879","91"
"111","庭","879","343"
"112","野呂松人形","879","33"
"113","沼地","879","33"
"114","女体","879","33"
"115","尾形了斎覚え書","879","343"
"116","おぎん","879","33"
"117","往生絵巻","879","343"
"118","老いたる素戔嗚尊","879","343"
"119","お時儀","879","33"
"120","女","879","33"
"121","温泉だより","879","33"
"122","或日の大石内蔵助","879","33"
"123","大川の水","879","91"
"124","お律と子等と","879","33"
"125","おしの","879","33"
"126","お富の貞操","879","343"
"127","羅生門","879","33"
"128","羅生門","879","54"
"129","或恋愛小説","879","33"
"130","六の宮の姫君","879","343"
"131","老年","879","33"
"132","路上","879","33"
"133","るしへる","879","33"
"134","竜","879","33"
"135","道祖問答","879","33"
"136","西郷隆盛","879","33"
"137","寒さ","879","33"
"138","三右衛門の罪","879","33"
"139","猿","879","107"
"140","猿蟹合戦","879","33"
"141","西方の人","879","343"
"142","青年と死","879","33"
"143","仙人","879","33"
"144","仙人","879","33"
"145","廿年後之戦争","879","343"
"146","死後","879","33"
"147","蜃気楼","879","249"
"148","虱","879","343"
"149","白","879","33"
"150","葬儀記","879","91"
"151","漱石山房の秋","879","259"
"152","早春","879","33"
"153","素戔嗚尊","879","33"
"154","捨児","879","33"
"155","少年","879","33"
"156","将軍","879","33"
"157","素描三題","879","343"
"158","侏儒の言葉","879","33"
"159","俊寛","879","33"
"160","出帆","879","91"
"161","酒虫","879","107"
"162","秋山図","879","239"
"163","煙草と悪魔","879","343"
"164","たね子の憂鬱","879","33"
"165","二つの手紙","879","33"
"166","手紙","879","33"
"167","点鬼簿","879","249"
"168","虎の話","879","259"
"169","トロツコ","879","343"
"170","杜子春","879","343"
"171","一塊の土","879","343"
"172","樗牛の事","879","91"
"173","忠義","879","33"
"174","馬の脚","879","33"
"175","海のほとり","879","33"
"176","運","879","33"
"177","魚河岸","879","33"
"178","芥川竜之介歌集","879","107"
"179","藪の中","879","33"
"180","山鴫","879","343"
"181","槍が岳に登った記","879","91"
"182","保吉の手帳から","879","33"
"183","世之助の話","879","343"
"184","妖婆","879","33"
"185","さまよえる猶太人","879","33"
"186","夢","879","33"
"187","百合","879","33"
"188","誘惑","879","249"
"189","続芭蕉雑記","879","343"
"190","続文芸的な、余りに文芸的な","879","343"
"191","続西方の人","879","343"
"192","Alice6","16","0"
"193","尼","17","107"
"193","尼","129","107"
"193","尼","315","107"
"194","マッチ売りの少女","19","0"
"194","マッチ売りの少女","10","0"
"195","可哀相な姉","20","534"
"196","もう一つの著作権の話","21","0"
"197","青い顔","22","343"
"198","青白き夢","12","216"
"199","あらくれ","23","275"
"201","或る女 1（前編）","25","116"
"202","或る女 2（後編）","25","116"
"203","僕の帽子のお話","25","116"
"204","カインの末裔","25","116"
"205","私の父と母","25","91"
"206","小さき者へ","25","275"
"207","二つの道","25","91"
"208","片信","25","91"
"209","卑怯者","25","91"
"210","広津氏に答う","25","91"
"211","一房の葡萄","25","275"
"212","火事とポチ","25","91"
"213","小作人への告別","25","91"
"214","水野仙子氏の作品について","25","426"
"215","溺れかけた兄妹","25","116"
"216","星座","25","239"
"217","宣言一つ","25","91"
"218","想片","25","91"
"219","在りし日の歌 亡き児文也の霊に捧ぐ","26","116"
"220","或る母の話","20","534"
"221","梓川の上流","27","116"
"222","もう一つのプライバシーの話","21","0"
"223","晩餐","12","216"
"224","薔薇","17","107"
"224","薔薇","129","107"
"224","薔薇","315","107"
"225","レズビアン・ライフ","28","84"
"226","ボヘミアの醜聞","10","0"
"226","ボヘミアの醜聞","9","0"
"227","伽藍とバザール","30","0"
"227","伽藍とバザール","29","0"
"228","セメント樽の中の手紙","31","93"
"229","父を失う話","20","534"
"230","コーヒーメーカー","32","0"
"231","コピーライトの史的展開","21","0"
"233","デンマルク国の話 信仰と樹木とをもって国を救いし話","34","116"
"234","二十世紀旗手","35","33"
"235","八十八夜","35","33"
"236","ア、秋","35","33"
"237","小さいアルバム","35","33"
"238","老ハイデルベルヒ","35","33"
"239","兄たち","35","33"
"240","あさましきもの","35","33"
"241","美男子と煙草","35","33"
"242","美少女","35","33"
"243","眉山","35","33"
"244","チャンス","35","33"
"245","父","35","33"
"246","畜犬談 ―伊馬鵜平君に与える―","35","239"
"247","地球図","35","33"
"248","千代女","35","33"
"249","断崖の錯覚","974","33"
"249","断崖の錯覚","35","33"
"250","男女同権","35","33"
"251","誰","35","33"
"252","誰も知らぬ","35","33"
"253","十二月八日","35","33"
"254","デカダン抗議","35","33"
"255","道化の華","35","343"
"256","服装に就いて","35","33"
"257","玩具","35","33"
"258","グッド・バイ","35","33"
"259","逆行","35","343"
"260","逆行","35","275"
"261","母","35","33"
"262","恥","35","33"
"263","薄明","35","33"
"264","花火","35","33"
"265","犯人","35","33"
"266","春の盗賊","35","33"
"267","皮膚と心","35","275"
"268","火の鳥","35","33"
"269","火の鳥","35","343"
"270","富嶽百景","35","343"
"271","HUMAN LOST","35","33"
"272","陰火","35","343"
"273","一灯","35","33"
"274","女類","35","33"
"275","女生徒","35","91"
"276","貨幣","35","91"
"277","駈込み訴え","35","275"
"278","鴎","35","33"
"279","懶惰の歌留多","35","33"
"280","喝采","35","33"
